"StimID","ItemID","Subject","ItemGrade","PoolGrade","Claim","Target","UseTarget","BlueprintTarget","DOK","AsmtType","ItemType","IRT_A","IRT_B","IRT_C","IRT_Step1","IRT_Step2","IRT_Step3","IRT_Step4","IRT_Step5","IRT_Step6","IRT_Step7","IRT_Step8","Braille","EnemyItem","ExtPool","ShortAnswer","FullWrite","Passage","WriteRevise","Claim2cat","StimMax","StimMin","SpaErrors"
46,"45988","ELA",11,11,1,"10","10","10",1,"CAT","ms",0.38924,2.63265,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Long",NA,NA,4,3,0
46,"42111","ELA",11,11,1,"8","8","8",2,"CAT","ms",0.4855,2.91037,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Long",NA,NA,4,3,0
46,"45984","ELA",11,11,1,"9","9","9",2,"CAT","EBSR",0.47667,2.78258,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Long",NA,NA,4,3,0
46,"41550","ELA",11,11,1,"9","9","9",3,"CAT","sa",0.50574,1.63769,0,0,0.78898,-0.78898,NA,NA,NA,NA,NA,"BRF","",0,1,0,"Long",NA,NA,4,3,0
48,"36859","ELA",11,11,1,"10","10","10",2,"CAT","htq",0.67519,-0.0617,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
48,"36855","ELA",11,11,1,"8","8","8",2,"CAT","mc",0.44571,1.94152,0,NA,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
48,"36863","ELA",11,11,1,"13","13","13",4,"CAT","mc",0.51269,1.98804,0,NA,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
48,"36857","ELA",11,11,1,"9","9","9",2,"CAT","htq",0.33812,2.06332,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
48,"58684","ELA",11,11,1,"11","11","11",4,"CAT","EBSR",0.32861,3.87968,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
48,"36865","ELA",11,11,1,"13","13","13",3,"CAT","mc",0.3039,1.78773,0,NA,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
48,"36867","ELA",11,11,1,"14","14","14",3,"CAT","mc",0.59414,1.12963,0,NA,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
49,"42123","ELA",11,11,1,"11","11","11",3,"CAT","htq",0.69213,4.02575,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
49,"43510","ELA",11,11,1,"8","8","8",2,"CAT","ms",0.58044,2.46415,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
49,"42121","ELA",11,11,1,"10","10","10",1,"CAT","ms",0.57591,1.90763,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
49,"42125","ELA",11,11,1,"13","13","13",4,"CAT","mc",0.23875,1.49995,0,NA,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
49,"42127","ELA",11,11,1,"14","14","14",3,"CAT","ms",0.63383,3.05488,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
49,"58675","ELA",11,11,1,"11","11","11",3,"CAT","EBSR",0.4095,2.62537,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
49,"42119","ELA",11,11,1,"9","9","9",2,"CAT","mc",0.18285,2.51321,0,NA,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
50,"48545","ELA",11,11,1,"8","8","8",2,"CAT","htq",0.51659,2.47157,0,0,NA,NA,NA,NA,NA,NA,NA,"","",0,0,0,"Short",NA,NA,4,3,0
50,"48549","ELA",11,11,1,"9","9","9",2,"CAT","htq",0.48531,2.36061,0,0,NA,NA,NA,NA,NA,NA,NA,"","69634",0,0,0,"Short",NA,NA,4,3,0
50,"48547","ELA",11,11,1,"8","8","8",2,"CAT","ms",0.72313,2.10484,0,0,NA,NA,NA,NA,NA,NA,NA,"","69635",0,0,0,"Short",NA,NA,4,3,0
50,"49910","ELA",11,11,1,"11","11","11",3,"CAT","htq",0.80333,1.31854,0,0,NA,NA,NA,NA,NA,NA,NA,"","69636",0,0,0,"Short",NA,NA,4,3,0
51,"46008","ELA",6,6,1,"13","13","13",3,"CAT","mc",0.31627,0.122,0,NA,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
51,"46006","ELA",6,6,1,"11","11","11",4,"CAT","EBSR",0.40286,2.65481,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
51,"42217","ELA",6,6,1,"10","10","10",1,"CAT","ms",0.57165,2.31048,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
51,"42213","ELA",6,6,1,"8","8","8",2,"CAT","mc",0.22141,2.55846,0,NA,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
51,"46004","ELA",6,6,1,"9","9","9",2,"CAT","htq",0.72226,1.71527,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
51,"42215","ELA",6,6,1,"9","9","9",2,"CAT","EBSR",0.59391,0.88127,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
52,"36873","ELA",6,6,1,"9","9","9",2,"CAT","EBSR",0.87626,1.16201,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
52,"36875","ELA",6,6,1,"10","10","10",2,"CAT","htq",0.44285,0.96477,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
52,"36887","ELA",6,6,1,"13","13","13",3,"CAT","ms",0.71385,2.45319,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
52,"58696","ELA",6,6,1,"12","12","12",4,"CAT","mc",0.43132,0.74178,0,NA,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
52,"58698","ELA",6,6,1,"14","14","14",3,"CAT","mc",0.47267,-0.65564,0,NA,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
52,"36877","ELA",6,6,1,"10","10","10",1,"CAT","ms",0.60119,1.88159,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
53,"26649","ELA",7,7,1,"10","10","10",1,"CAT","ms",0.55501,1.43671,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
53,"26645","ELA",7,7,1,"9","9","9",2,"CAT","htq",0.58105,1.78306,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
53,"26643","ELA",7,7,1,"8","8","8",2,"CAT","mc",0.65842,0.63103,0,NA,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
53,"26647","ELA",7,7,1,"9","9","9",2,"CAT","EBSR",0.55397,1.17648,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
53,"26653","ELA",7,7,1,"12","12","12",3,"CAT","EBSR",0.33449,3.34287,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
53,"26655","ELA",7,7,1,"13","13","13",3,"CAT","ms",0.4031,2.78176,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
54,"37017","ELA",7,7,1,"12","12","12",4,"CAT","EBSR",0.56256,1.89244,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
54,"37013","ELA",7,7,1,"10","10","10",2,"CAT","ms",0.52693,2.20057,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
54,"37019","ELA",7,7,1,"13","13","13",2,"CAT","ms",0.4088,3.51391,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
54,"37015","ELA",7,7,1,"11","11","11",3,"CAT","htq",0.39714,3.28913,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
54,"37007","ELA",7,7,1,"8","8","8",2,"CAT","mc",0.44947,0.19057,0,NA,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
54,"37009","ELA",7,7,1,"9","9","9",2,"CAT","htq",0.45799,0.63608,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
58,"42319","ELA",11,11,1,"13","13","13",4,"CAT","mc",0.20814,1.32029,0,NA,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
58,"42317","ELA",11,11,1,"11","11","11",3,"CAT","EBSR",0.54288,1.30249,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
58,"42321","ELA",11,11,1,"14","14","14",3,"CAT","ms",0.43342,3.92643,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
58,"42309","ELA",11,11,1,"8","8","8",2,"CAT","mc",0.36527,1.13323,0,NA,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
58,"42313","ELA",11,11,1,"9","9","9",2,"CAT","EBSR",0.46944,2.42327,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
58,"42311","ELA",11,11,1,"8","8","8",2,"CAT","ms",0.34322,5.46703,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
58,"42315","ELA",11,11,1,"10","10","10",2,"CAT","htq",0.79179,-1.33978,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
60,"48555","ELA",11,11,1,"14","14","14",3,"CAT","ms",0.62485,1.88526,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
60,"58984","ELA",11,11,1,"12","12","12",4,"CAT","mc",0.49276,0.42886,0,NA,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
60,"42295","ELA",11,11,1,"13","13","13",4,"CAT","mc",0.44242,2.71061,0,NA,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
60,"42293","ELA",11,11,1,"10","10","10",2,"CAT","htq",0.4478,0.09076,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
60,"58982","ELA",11,11,1,"11","11","11",3,"CAT","EBSR",0.36534,3.93955,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
60,"42291","ELA",11,11,1,"9","9","9",2,"CAT","EBSR",0.58953,1.5543,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
60,"42289","ELA",11,11,1,"8","8","8",2,"CAT","ms",0.4853,3.00023,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
73,"26546","ELA",6,6,1,"13","13","13",3,"CAT","ms",0.59656,1.98126,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
73,"26536","ELA",6,6,1,"8","8","8",2,"CAT","ms",0.45547,2.51623,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
73,"26542","ELA",6,6,1,"11","11","11",3,"CAT","htq",0.58657,1.93162,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
73,"26544","ELA",6,6,1,"12","12","12",3,"CAT","EBSR",0.53304,2.63525,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
73,"26540","ELA",6,6,1,"10","10","10",2,"CAT","mc",0.39758,1.2402,0,NA,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
73,"26548","ELA",6,6,1,"14","14","14",3,"CAT","mc",0.33792,2.26689,0,NA,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
75,"12440","ELA",6,6,1,"14","14","14",3,"CAT","ms",0.67159,0.91066,0,0,NA,NA,NA,NA,NA,NA,NA,"","",0,0,0,"Long",NA,NA,4,3,0
75,"26283","ELA",6,6,1,"11","11","11",3,"CAT","EBSR",0.44448,2.12792,0,0,NA,NA,NA,NA,NA,NA,NA,"","",0,0,0,"Long",NA,NA,4,3,0
75,"26275","ELA",6,6,1,"9","9","9",2,"CAT","mc",0.27166,0.77909,0,NA,NA,NA,NA,NA,NA,NA,NA,"","",0,0,0,"Long",NA,NA,4,3,0
75,"26287","ELA",6,6,1,"13","13","13",2,"CAT","mc",0.21621,0.28529,0,NA,NA,NA,NA,NA,NA,NA,NA,"","",0,0,0,"Long",NA,NA,4,3,0
75,"27679","ELA",6,6,1,"12","12","12",3,"CAT","htq",0.61669,1.66944,0,0,NA,NA,NA,NA,NA,NA,NA,"","",0,0,0,"Long",NA,NA,4,3,0
75,"26277","ELA",6,6,1,"9","9","9",3,"CAT","sa",0.58574,2.15251,0,0,0.94336,-0.94336,NA,NA,NA,NA,NA,"","",0,1,0,"Long",NA,NA,4,3,0
75,"26285","ELA",6,6,1,"12","12","12",4,"CAT","mc",0.2118,1.75641,0,NA,NA,NA,NA,NA,NA,NA,NA,"","",0,0,0,"Long",NA,NA,4,3,0
76,"43377","ELA",11,11,1,"4","4","4",4,"CAT","sa",0.89154,2.64797,0,0,0.64817,-0.64817,NA,NA,NA,NA,NA,"","",0,1,0,"Long",NA,NA,4,3,0
76,"41991","ELA",11,11,1,"7","7","7",3,"CAT","ms",0.41877,2.81871,0,0,NA,NA,NA,NA,NA,NA,NA,"","",0,0,0,"Long",NA,NA,4,3,0
76,"41989","ELA",11,11,1,"6","6","6",3,"CAT","mc",0.42553,1.69556,0,NA,NA,NA,NA,NA,NA,NA,NA,"","",0,0,0,"Long",NA,NA,4,3,0
76,"12442","ELA",11,11,1,"7","7","7",3,"CAT","ms",0.63716,2.00204,0,0,NA,NA,NA,NA,NA,NA,NA,"","",0,0,0,"Long",NA,NA,4,3,0
76,"43375","ELA",11,11,1,"3","3","3",2,"CAT","htq",0.8382,-0.47691,0,0,NA,NA,NA,NA,NA,NA,NA,"","",0,0,0,"Long",NA,NA,4,3,0
76,"41983","ELA",11,11,1,"2","2","2",2,"CAT","mc",0.5012,-0.11105,0,NA,NA,NA,NA,NA,NA,NA,NA,"","",0,0,0,"Long",NA,NA,4,3,0
76,"41987","ELA",11,11,1,"4","4","4",3,"CAT","EBSR",0.66889,1.78499,0,0,NA,NA,NA,NA,NA,NA,NA,"","",0,0,0,"Long",NA,NA,4,3,0
76,"43373","ELA",11,11,1,"1","1","1",2,"CAT","htq",0.31748,1.27167,0,0,NA,NA,NA,NA,NA,NA,NA,"","",0,0,0,"Long",NA,NA,4,3,0
76,"41981","ELA",11,11,1,"1","1","1",2,"CAT","ms",0.57465,1.79436,0,0,NA,NA,NA,NA,NA,NA,NA,"","65060",0,0,0,"Long",NA,NA,4,3,0
79,"41470","ELA",11,11,1,"1","1","1",2,"CAT","htq",0.64843,-0.8611,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Long",NA,NA,4,3,0
79,"41474","ELA",11,11,1,"2","2","2",2,"CAT","mc",0.27705,-0.00697,0,NA,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Long",NA,NA,4,3,0
79,"41472","ELA",11,11,1,"1","1","1",2,"CAT","ms",0.84678,1.9261,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Long",NA,NA,4,3,0
79,"43484","ELA",11,11,1,"6","6","6",3,"CAT","mc",0.5573,0.97049,0,NA,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Long",NA,NA,4,3,0
79,"41476","ELA",11,11,1,"2","2","2",3,"CAT","sa",0.67234,2.11298,0,0,0.24977,-0.24977,NA,NA,NA,NA,NA,"BRF","",0,1,0,"Long",NA,NA,4,3,0
79,"41480","ELA",11,11,1,"4","4","4",4,"CAT","sa",0.74474,2.57966,0,0,0.34341,-0.34341,NA,NA,NA,NA,NA,"BRF","",0,1,0,"Long",NA,NA,4,3,0
79,"41484","ELA",11,11,1,"5","5","5",4,"CAT","htq",0.50968,3.55906,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Long",NA,NA,4,3,0
79,"41486","ELA",11,11,1,"5","5","5",4,"CAT","mc",0.72909,0.41028,0,NA,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Long",NA,NA,4,3,0
79,"41482","ELA",11,11,1,"4","4","4",3,"CAT","EBSR",0.34984,3.50763,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Long",NA,NA,4,3,0
79,"41478","ELA",11,11,1,"3","3","3",2,"CAT","htq",0.63237,0.01375,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Long",NA,NA,4,3,0
80,"12789","ELA",11,11,1,"1","1","1",2,"CAT","htq",0.58387,1.21967,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Long",NA,NA,4,3,0
80,"36553","ELA",11,11,1,"2","2","2",3,"CAT","sa",0.74057,2.39136,0,0,-0.14051,0.14051,NA,NA,NA,NA,NA,"BRF","",0,1,0,"Long",NA,NA,4,3,0
80,"36569","ELA",11,11,1,"7","7","7",3,"CAT","ms",0.57315,3.90645,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Long",NA,NA,4,3,0
80,"36551","ELA",11,11,1,"2","2","2",2,"CAT","mc",0.13252,4.37536,0,NA,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Long",NA,NA,4,3,0
80,"36557","ELA",11,11,1,"4","4","4",4,"CAT","sa",0.61173,2.9253,0,0,0.26218,-0.26218,NA,NA,NA,NA,NA,"BRF","",0,1,0,"Long",NA,NA,4,3,0
80,"36549","ELA",11,11,1,"1","1","1",2,"CAT","ms",0.40736,2.59573,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Long",NA,NA,4,3,0
80,"36563","ELA",11,11,1,"5","5","5",4,"CAT","mc",0.19644,1.88829,0,NA,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Long",NA,NA,4,3,0
80,"36555","ELA",11,11,1,"3","3","3",2,"CAT","htq",0.2563,1.10966,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Long",NA,NA,4,3,0
80,"36559","ELA",11,11,1,"4","4","4",3,"CAT","EBSR",0.72534,1.85573,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Long",NA,NA,4,3,0
81,"44844","ELA",6,6,1,"8","8","8",2,"CAT","mc",0.33429,2.05045,0,NA,NA,NA,NA,NA,NA,NA,NA,"","68784",0,0,0,"Short",NA,NA,4,3,0
81,"44854","ELA",6,6,1,"13","13","13",2,"CAT","mc",0.16842,0.86184,0,NA,NA,NA,NA,NA,NA,NA,NA,"","",0,0,0,"Short",NA,NA,4,3,0
81,"44852","ELA",6,6,1,"12","12","12",3,"CAT","htq",0.61187,1.71984,0,0,NA,NA,NA,NA,NA,NA,NA,"","",0,0,0,"Short",NA,NA,4,3,0
81,"44848","ELA",6,6,1,"9","9","9",2,"CAT","mc",0.3724,1.30358,0,NA,NA,NA,NA,NA,NA,NA,NA,"","",0,0,0,"Short",NA,NA,4,3,0
85,"58651","ELA",8,8,1,"11","11","11",3,"CAT","htq",0.27996,3.82258,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
85,"43501","ELA",8,8,1,"8","8","8",2,"CAT","mc",0.87491,0.46006,0,NA,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
85,"49908","ELA",8,8,1,"9","9","9",2,"CAT","EBSR",0.68887,0.61366,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
85,"43505","ELA",8,8,1,"10","10","10",2,"CAT","ms",0.44692,1.5894,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
85,"43503","ELA",8,8,1,"9","9","9",2,"CAT","htq",0.5933,0.91116,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
85,"45976","ELA",8,8,1,"13","13","13",3,"CAT","ms",0.33641,4.11491,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
85,"45974","ELA",8,8,1,"12","12","12",3,"CAT","EBSR",0.31021,3.25412,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
87,"42077","ELA",11,11,1,"9","9","9",2,"CAT","EBSR",0.55374,2.63915,0,0,NA,NA,NA,NA,NA,NA,NA,"","69228",0,0,0,"Short",NA,NA,4,3,0
87,"42079","ELA",11,11,1,"10","10","10",1,"CAT","ms",0.45478,3.94964,0,0,NA,NA,NA,NA,NA,NA,NA,"","",0,0,0,"Short",NA,NA,4,3,0
87,"58653","ELA",11,11,1,"12","12","12",3,"CAT","EBSR",0.46073,3.21207,0,0,NA,NA,NA,NA,NA,NA,NA,"","",0,0,0,"Short",NA,NA,4,3,0
87,"42073","ELA",11,11,1,"8","8","8",2,"CAT","mc",0.31733,0.20322,0,NA,NA,NA,NA,NA,NA,NA,NA,"","69230",0,0,0,"Short",NA,NA,4,3,0
87,"42083","ELA",11,11,1,"13","13","13",3,"CAT","ms",0.3443,4.64695,0,0,NA,NA,NA,NA,NA,NA,NA,"","",0,0,0,"Short",NA,NA,4,3,0
87,"12819","ELA",11,11,1,"14","14","14",3,"CAT","mc",0.39025,0.0944,0,NA,NA,NA,NA,NA,NA,NA,NA,"","",0,0,0,"Short",NA,NA,4,3,0
88,"26471","ELA",8,8,1,"12","12","12",4,"CAT","EBSR",0.94887,1.31599,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
